experiment,class,model,prompt_strategy,total_suites,prompt_tokens,completion_tokens,total_tokens,cost_prompt_usd,cost_completion_usd,cost_total_usd,cost_total_brl
exp-area,Area,Grok,zero-shot,5,8415,4579,12994,0.001683,0.006868,0.008551,0.045833
exp-area,Area,Grok,one-shot,5,9125,5287,14412,0.001825,0.007931,0.009756,0.052292
exp-area,Area,Grok,few-shot,5,9745,5727,15472,0.001949,0.008591,0.010540,0.056494
exp-area,Area,Grok,pot,5,14915,7037,21952,0.002983,0.010555,0.013538,0.072564
exp-area,Area,Grok,coc,5,12080,3453,15533,0.002416,0.005180,0.007596,0.040715
exp-area,Area,Llama,zero-shot,5,7504,1758,9262,0.001126,0.001055,0.002181,0.011690
exp-area,Area,Llama,one-shot,5,8198,9436,17634,0.001230,0.005662,0.006892,0.036941
exp-area,Area,Llama,few-shot,5,8844,2061,10905,0.001327,0.001237,0.002564,0.013743
exp-area,Area,Llama,pot,5,13870,2297,16167,0.002080,0.001378,0.003458,0.018535
exp-area,Area,Llama,coc,5,11174,1243,12417,0.001676,0.000746,0.002422,0.012982
exp-area,Area,Qwen,zero-shot,5,7420,2200,9620,0.001632,0.002090,0.003722,0.019950
exp-area,Area,Qwen,one-shot,5,8155,2871,11026,0.001794,0.002727,0.004521,0.024233
exp-area,Area,Qwen,few-shot,5,8830,2686,11516,0.001943,0.002552,0.004495,0.024093
exp-area,Area,Qwen,pot,5,14395,4574,18969,0.003167,0.004345,0.007512,0.040264
exp-area,Area,Qwen,coc,5,11510,1522,13032,0.002532,0.001446,0.003978,0.021322
exp-area,Area,TOTAL,ALL,75,154180,56731,210911,0.029363,0.062363,0.091726,0.491651
