experiment,class,model,prompt_strategy,total_suites,prompt_tokens,completion_tokens,total_tokens,cost_prompt_usd,cost_completion_usd,cost_total_usd,cost_total_brl
exp-binarycodec,BinaryCodec,Grok,zero-shot,5,14460,9299,23759,0.002892,0.013948,0.016840,0.090262
exp-binarycodec,BinaryCodec,Grok,one-shot,5,15125,6688,21813,0.003025,0.010032,0.013057,0.069986
exp-binarycodec,BinaryCodec,Grok,few-shot,5,15750,10195,25945,0.003150,0.015292,0.018442,0.098849
exp-binarycodec,BinaryCodec,Grok,pot,5,23935,9562,33497,0.004787,0.014343,0.019130,0.102537
exp-binarycodec,BinaryCodec,Grok,coc,5,20615,7327,27942,0.004123,0.010991,0.015114,0.081011
exp-binarycodec,BinaryCodec,Llama,zero-shot,5,13551,2425,15976,0.002033,0.001455,0.003488,0.018696
exp-binarycodec,BinaryCodec,Llama,one-shot,5,14197,2469,16666,0.002130,0.001481,0.003611,0.019355
exp-binarycodec,BinaryCodec,Llama,few-shot,5,14835,2527,17362,0.002225,0.001516,0.003741,0.020052
exp-binarycodec,BinaryCodec,Llama,pot,5,23001,5105,28106,0.003450,0.003063,0.006513,0.034910
exp-binarycodec,BinaryCodec,Llama,coc,5,19701,2205,21906,0.002955,0.001323,0.004278,0.022930
exp-binarycodec,BinaryCodec,Qwen,zero-shot,5,13555,3374,16929,0.002982,0.003205,0.006187,0.033162
exp-binarycodec,BinaryCodec,Qwen,one-shot,5,14220,4024,18244,0.003128,0.003823,0.006951,0.037257
exp-binarycodec,BinaryCodec,Qwen,few-shot,5,14855,3389,18244,0.003268,0.003220,0.006488,0.034776
exp-binarycodec,BinaryCodec,Qwen,pot,5,23675,5213,28888,0.005209,0.004952,0.010161,0.054463
exp-binarycodec,BinaryCodec,Qwen,coc,5,20170,2727,22897,0.004437,0.002591,0.007028,0.037670
exp-binarycodec,BinaryCodec,TOTAL,ALL,75,261645,76529,338174,0.049794,0.091235,0.141029,0.755916
