experiment,class,model,prompt_strategy,total_suites,prompt_tokens,completion_tokens,total_tokens,cost_prompt_usd,cost_completion_usd,cost_total_usd,cost_total_brl
exp-binarytree,BinaryTree,Grok,zero-shot,5,11685,6713,18398,0.002337,0.010070,0.012407,0.066502
exp-binarytree,BinaryTree,Grok,one-shot,5,12320,5832,18152,0.002464,0.008748,0.011212,0.060096
exp-binarytree,BinaryTree,Grok,few-shot,5,12820,4678,17498,0.002564,0.007017,0.009581,0.051354
exp-binarytree,BinaryTree,Grok,pot,5,20015,5221,25236,0.004003,0.007831,0.011834,0.063430
exp-binarytree,BinaryTree,Grok,coc,5,16280,5329,21609,0.003256,0.007994,0.011250,0.060300
exp-binarytree,BinaryTree,Llama,zero-shot,5,10788,2356,13144,0.001618,0.001414,0.003032,0.016252
exp-binarytree,BinaryTree,Llama,one-shot,5,11400,2377,13777,0.001710,0.001426,0.003136,0.016809
exp-binarytree,BinaryTree,Llama,few-shot,5,11919,2612,14531,0.001788,0.001567,0.003355,0.017983
exp-binarytree,BinaryTree,Llama,pot,5,18980,1310,20290,0.002847,0.000786,0.003633,0.019473
exp-binarytree,BinaryTree,Llama,coc,5,15301,2400,17701,0.002295,0.001440,0.003735,0.020020
exp-binarytree,BinaryTree,Qwen,zero-shot,5,10770,3564,14334,0.002369,0.003386,0.005755,0.030847
exp-binarytree,BinaryTree,Qwen,one-shot,5,11410,3451,14861,0.002510,0.003278,0.005788,0.031024
exp-binarytree,BinaryTree,Qwen,few-shot,5,11950,8021,19971,0.002629,0.007620,0.010249,0.054935
exp-binarytree,BinaryTree,Qwen,pot,5,19675,1591,21266,0.004329,0.001511,0.005840,0.031302
exp-binarytree,BinaryTree,Qwen,coc,5,15730,1395,17125,0.003461,0.001325,0.004786,0.025653
exp-binarytree,BinaryTree,TOTAL,ALL,75,211043,56850,267893,0.040180,0.065413,0.105593,0.565980
