experiment,class,model,prompt_strategy,total_suites,prompt_tokens,completion_tokens,total_tokens,cost_prompt_usd,cost_completion_usd,cost_total_usd,cost_total_brl
exp-hex,Hex,Grok,zero-shot,5,10380,6493,16873,0.002076,0.009739,0.011815,0.063328
exp-hex,Hex,Grok,one-shot,5,11070,5354,16424,0.002214,0.008031,0.010245,0.054913
exp-hex,Hex,Grok,few-shot,5,11665,4762,16427,0.002333,0.007143,0.009476,0.050791
exp-hex,Hex,Grok,pot,5,18070,5811,23881,0.003614,0.008717,0.012331,0.066094
exp-hex,Hex,Grok,coc,5,15230,3494,18724,0.003046,0.005241,0.008287,0.044418
exp-hex,Hex,Llama,zero-shot,5,9488,1383,10871,0.001423,0.000830,0.002253,0.012076
exp-hex,Hex,Llama,one-shot,5,10090,1549,11639,0.001513,0.000929,0.002442,0.013089
exp-hex,Hex,Llama,few-shot,5,10779,2114,12893,0.001617,0.001268,0.002885,0.015464
exp-hex,Hex,Llama,pot,5,17128,2494,19622,0.002569,0.001496,0.004065,0.021788
exp-hex,Hex,Llama,coc,5,14260,3768,18028,0.002139,0.002261,0.004400,0.023584
exp-hex,Hex,Qwen,zero-shot,5,9375,2709,12084,0.002063,0.002574,0.004637,0.024854
exp-hex,Hex,Qwen,one-shot,5,10080,2385,12465,0.002218,0.002266,0.004484,0.024034
exp-hex,Hex,Qwen,few-shot,5,10725,2726,13451,0.002360,0.002590,0.004950,0.026532
exp-hex,Hex,Qwen,pot,5,17630,5661,23291,0.003879,0.005378,0.009257,0.049618
exp-hex,Hex,Qwen,coc,5,14665,1763,16428,0.003226,0.001675,0.004901,0.026269
exp-hex,Hex,TOTAL,ALL,75,190635,52466,243101,0.036290,0.060138,0.096428,0.516852
