experiment,class,model,prompt_strategy,total_suites,prompt_tokens,completion_tokens,total_tokens,cost_prompt_usd,cost_completion_usd,cost_total_usd,cost_total_brl
exp-mathutils,MathUtils,Grok,zero-shot,5,13055,5413,18468,0.002611,0.008119,0.010730,0.057513
exp-mathutils,MathUtils,Grok,one-shot,5,13710,5014,18724,0.002742,0.007521,0.010263,0.055010
exp-mathutils,MathUtils,Grok,few-shot,5,14315,3957,18272,0.002863,0.005935,0.008798,0.047157
exp-mathutils,MathUtils,Grok,pot,5,19670,4431,24101,0.003934,0.006646,0.010580,0.056709
exp-mathutils,MathUtils,Grok,coc,5,16975,5025,22000,0.003395,0.007537,0.010932,0.058596
exp-mathutils,MathUtils,Llama,zero-shot,5,12115,1835,13950,0.001817,0.001101,0.002918,0.015640
exp-mathutils,MathUtils,Llama,one-shot,5,13013,1814,14827,0.001952,0.001088,0.003040,0.016294
exp-mathutils,MathUtils,Llama,few-shot,5,13442,1850,15292,0.002016,0.001110,0.003126,0.016755
exp-mathutils,MathUtils,Llama,pot,5,18747,1108,19855,0.002812,0.000665,0.003477,0.018637
exp-mathutils,MathUtils,Llama,coc,5,16092,1542,17634,0.002414,0.000925,0.003339,0.017897
exp-mathutils,MathUtils,Qwen,zero-shot,5,12205,2983,15188,0.002685,0.002834,0.005519,0.029582
exp-mathutils,MathUtils,Qwen,one-shot,5,12890,2437,15327,0.002836,0.002315,0.005151,0.027609
exp-mathutils,MathUtils,Qwen,few-shot,5,13525,2873,16398,0.002976,0.002729,0.005705,0.030579
exp-mathutils,MathUtils,Qwen,pot,5,19320,1325,20645,0.004250,0.001259,0.005509,0.029528
exp-mathutils,MathUtils,Qwen,coc,5,16520,2706,19226,0.003634,0.002571,0.006205,0.033259
exp-mathutils,MathUtils,TOTAL,ALL,75,225594,44313,269907,0.042937,0.052355,0.095292,0.510765
