experiment,class,model,prompt_strategy,total_suites,prompt_tokens,completion_tokens,total_tokens,cost_prompt_usd,cost_completion_usd,cost_total_usd,cost_total_brl
exp-range,Range,Grok,zero-shot,5,21915,7467,29382,0.004383,0.011200,0.015583,0.083525
exp-range,Range,Grok,one-shot,5,22560,5609,28169,0.004512,0.008414,0.012926,0.069283
exp-range,Range,Grok,few-shot,5,23135,5387,28522,0.004627,0.008081,0.012708,0.068115
exp-range,Range,Grok,pot,5,27505,16171,43676,0.005501,0.024257,0.029758,0.159503
exp-range,Range,Grok,coc,5,24860,4138,28998,0.004972,0.006207,0.011179,0.059919
exp-range,Range,Llama,zero-shot,5,21285,1633,22918,0.003193,0.000980,0.004173,0.022367
exp-range,Range,Llama,one-shot,5,21910,1615,23525,0.003286,0.000969,0.004255,0.022807
exp-range,Range,Llama,few-shot,5,22505,2247,24752,0.003376,0.001348,0.004724,0.025321
exp-range,Range,Llama,pot,5,26840,3010,29850,0.004026,0.001806,0.005832,0.031260
exp-range,Range,Llama,coc,5,24235,1170,25405,0.003635,0.000702,0.004337,0.023246
exp-range,Range,Qwen,zero-shot,5,20850,3193,24043,0.004587,0.003033,0.007620,0.040843
exp-range,Range,Qwen,one-shot,5,21500,3536,25036,0.004730,0.003359,0.008089,0.043357
exp-range,Range,Qwen,few-shot,5,22090,2586,24676,0.004860,0.002457,0.007317,0.039219
exp-range,Range,Qwen,pot,5,26855,3445,30300,0.005908,0.003273,0.009181,0.049210
exp-range,Range,Qwen,coc,5,24095,1536,25631,0.005301,0.001459,0.006760,0.036234
exp-range,Range,TOTAL,ALL,75,352140,62743,414883,0.066897,0.077545,0.144442,0.774209
