experiment,class,model,prompt_strategy,total_suites,prompt_tokens,completion_tokens,total_tokens,cost_prompt_usd,cost_completion_usd,cost_total_usd,cost_total_brl
exp-stackarray,StackArray,Grok,zero-shot,5,6840,4778,11618,0.001368,0.007167,0.008535,0.045748
exp-stackarray,StackArray,Grok,one-shot,5,7485,4829,12314,0.001497,0.007243,0.008740,0.046846
exp-stackarray,StackArray,Grok,few-shot,5,8005,4757,12762,0.001601,0.007135,0.008736,0.046825
exp-stackarray,StackArray,Grok,pot,5,13450,5681,19131,0.002690,0.008522,0.011212,0.060096
exp-stackarray,StackArray,Grok,coc,5,11470,4119,15589,0.002294,0.006178,0.008472,0.045410
exp-stackarray,StackArray,Llama,zero-shot,5,5865,1724,7589,0.000880,0.001034,0.001914,0.010259
exp-stackarray,StackArray,Llama,one-shot,5,6491,1675,8166,0.000974,0.001005,0.001979,0.010607
exp-stackarray,StackArray,Llama,few-shot,5,7103,1933,9036,0.001065,0.001160,0.002225,0.011926
exp-stackarray,StackArray,Llama,pot,5,12421,3130,15551,0.001863,0.001878,0.003741,0.020052
exp-stackarray,StackArray,Llama,coc,5,10475,1557,12032,0.001571,0.000934,0.002505,0.013427
exp-stackarray,StackArray,Qwen,zero-shot,5,5890,2255,8145,0.001296,0.002142,0.003438,0.018428
exp-stackarray,StackArray,Qwen,one-shot,5,6545,2187,8732,0.001440,0.002078,0.003518,0.018856
exp-stackarray,StackArray,Qwen,few-shot,5,7080,2438,9518,0.001558,0.002316,0.003874,0.020765
exp-stackarray,StackArray,Qwen,pot,5,12975,4025,17000,0.002855,0.003824,0.006679,0.035799
exp-stackarray,StackArray,Qwen,coc,5,10898,785,11683,0.002398,0.000746,0.003144,0.016852
exp-stackarray,StackArray,TOTAL,ALL,75,132993,45873,178866,0.025350,0.053362,0.078712,0.421896
