experiment,class,model,prompt_strategy,total_suites,prompt_tokens,completion_tokens,total_tokens,cost_prompt_usd,cost_completion_usd,cost_total_usd,cost_total_brl
exp-verhoeff,Verhoeff,Grok,zero-shot,5,10750,5247,15997,0.002150,0.007870,0.010020,0.053707
exp-verhoeff,Verhoeff,Grok,one-shot,5,11360,5800,17160,0.002272,0.008700,0.010972,0.058810
exp-verhoeff,Verhoeff,Grok,zero-shot,5,10750,5137,15887,0.002150,0.007706,0.009856,0.052828
exp-verhoeff,Verhoeff,Grok,one-shot,5,11360,6423,17783,0.002272,0.009635,0.011907,0.063822
exp-verhoeff,Verhoeff,Grok,few-shot,5,11920,5723,17643,0.002384,0.008585,0.010969,0.058794
exp-verhoeff,Verhoeff,Grok,pot,5,18490,3262,21752,0.003698,0.004893,0.008591,0.046048
exp-verhoeff,Verhoeff,Grok,coc,5,15740,6856,22596,0.003148,0.010284,0.013432,0.071996
exp-verhoeff,Verhoeff,Llama,zero-shot,5,9889,1433,11322,0.001483,0.000860,0.002343,0.012558
exp-verhoeff,Verhoeff,Llama,one-shot,5,10614,1422,12036,0.001592,0.000853,0.002445,0.013105
exp-verhoeff,Verhoeff,Llama,few-shot,5,10992,1605,12597,0.001649,0.000963,0.002612,0.014000
exp-verhoeff,Verhoeff,Llama,pot,5,17591,1370,18961,0.002639,0.000822,0.003461,0.018551
exp-verhoeff,Verhoeff,Llama,coc,5,14833,1210,16043,0.002225,0.000726,0.002951,0.015817
exp-verhoeff,Verhoeff,Qwen,zero-shot,5,9845,2126,11971,0.002166,0.002020,0.004186,0.022437
exp-verhoeff,Verhoeff,Qwen,one-shot,5,10480,2098,12578,0.002306,0.001993,0.004299,0.023043
exp-verhoeff,Verhoeff,Qwen,few-shot,5,11070,12569,23639,0.002435,0.011941,0.014376,0.077055
exp-verhoeff,Verhoeff,Qwen,pot,5,18165,1500,19665,0.003996,0.001425,0.005421,0.029057
exp-verhoeff,Verhoeff,Qwen,coc,5,15220,2221,17441,0.003348,0.002110,0.005458,0.029255
exp-verhoeff,Verhoeff,TOTAL,ALL,85,219069,66002,285071,0.041913,0.081386,0.123299,0.660883
